ball 1,ball 2,ball 3,ball 4,ball 5,ball 6,ball 7,ball 8,ball 9,ball 10,ball 11,ball 12,ball 13,ball 14,ball 15,ball 16,ball 17,ball 18,ball 19,ball 20,king ball
2,4,8,9,18,21,24,27,30,34,39,43,46,50,53,55,56,59,60,68,4
1,2,5,6,9,10,15,19,22,25,28,31,39,42,43,44,47,49,63,66,49
1,3,4,7,9,10,14,19,27,30,33,40,44,47,49,51,52,54,62,69,9
8,9,10,11,16,22,23,27,28,32,40,42,45,48,54,55,59,60,64,65,32
1,7,9,13,14,15,21,22,26,30,34,39,40,42,44,48,49,53,64,67,34
5,8,12,13,14,16,21,24,27,38,43,44,48,51,53,58,60,62,63,70,58
7,14,15,17,18,21,26,37,42,43,51,54,56,59,61,62,64,65,69,70,61
5,6,14,17,27,31,36,41,47,48,52,53,54,55,57,58,59,64,69,70,6
7,15,18,25,26,29,32,33,34,38,39,40,42,43,47,54,61,66,67,69,43
5,8,10,13,16,17,19,27,28,30,34,36,42,43,44,50,53,59,65,67,8
2,3,4,5,6,7,11,13,14,18,22,29,30,37,38,40,43,50,64,65,18
1,9,18,23,25,26,30,32,34,37,42,44,47,48,52,53,54,58,69,70,69
3,6,15,16,21,22,26,29,30,39,42,47,49,51,53,54,61,64,65,69,65
5,6,12,16,17,20,21,23,26,27,29,31,32,33,36,47,52,62,64,65,52
2,6,8,11,18,22,26,29,30,33,34,39,44,46,53,57,62,63,69,70,18
3,10,13,15,17,22,24,27,28,30,43,45,49,52,58,61,65,66,67,70,13
3,7,13,16,17,21,22,30,37,41,42,46,47,49,53,54,56,61,63,65,7
2,3,7,9,19,21,22,29,31,32,34,39,40,44,46,52,55,60,65,69,7
5,6,12,15,17,19,32,34,37,38,40,42,43,44,53,55,58,60,64,66,15
3,4,5,6,7,9,13,15,16,30,31,32,33,37,40,57,58,62,65,67,13
4,11,14,16,23,26,28,29,35,36,37,39,41,47,51,60,63,64,65,66,47
1,3,4,5,8,14,16,20,22,28,37,40,44,51,55,60,64,67,68,69,8
3,4,5,6,8,9,13,15,16,19,24,25,29,37,42,46,49,51,56,65,9
1,4,5,8,10,12,15,23,29,31,33,34,37,39,40,44,50,55,56,61,40
2,9,13,17,18,21,22,23,25,29,33,34,37,50,53,56,57,61,65,69,18
6,10,11,15,17,21,24,28,39,43,45,47,48,52,57,58,64,67,68,70,70
1,2,11,12,15,20,22,25,28,29,38,39,40,41,42,54,61,62,63,70,11
1,5,8,11,19,20,23,24,25,26,29,34,36,46,47,48,56,60,61,66,46
1,11,12,13,16,18,25,30,31,33,34,47,48,49,53,57,58,63,65,67,13
2,7,8,9,12,17,21,22,25,26,28,31,33,35,44,47,50,51,65,68,17
1,3,5,9,10,13,18,20,27,34,36,43,44,47,56,58,64,65,67,68,27
9,11,12,29,32,33,35,36,42,43,45,49,50,51,52,53,58,67,68,69,58
3,5,6,7,8,17,18,22,28,30,31,33,38,40,42,44,54,58,59,60,60
5,8,12,13,19,21,30,34,36,42,47,49,51,53,58,61,62,63,66,69,13
1,9,13,16,23,26,30,32,34,36,39,42,43,45,46,53,55,57,58,61,46
10,12,14,15,16,20,32,34,35,39,42,43,45,49,53,61,63,65,67,68,14
4,7,9,21,23,24,27,33,39,42,45,46,50,51,56,60,61,62,63,68,56
7,8,11,13,14,16,21,28,32,33,34,39,40,42,49,51,53,62,63,69,39
1,3,4,12,15,16,17,18,21,22,26,37,48,50,52,56,57,64,66,68,26
5,7,13,18,20,23,28,42,44,45,47,49,53,55,56,57,61,64,68,70,42
3,4,5,7,9,13,19,21,26,29,31,33,44,45,49,53,54,58,61,66,61
2,4,15,21,22,31,34,35,36,38,40,45,47,48,50,51,57,64,66,70,48
11,19,25,27,29,37,40,42,46,47,52,53,57,61,63,64,66,68,69,70,37
4,6,9,12,23,24,28,34,40,41,44,45,46,48,50,51,53,55,62,65,40
1,7,10,11,15,22,25,26,27,33,34,35,37,39,46,47,49,57,64,65,64
3,7,14,17,18,25,32,33,35,36,44,45,47,49,50,58,59,60,64,65,18
12,18,21,23,25,28,35,36,37,40,43,46,49,52,54,56,59,61,67,70,23
7,8,10,15,16,18,19,21,23,28,30,42,48,52,59,63,64,65,66,68,48
15,19,22,23,26,27,28,29,34,36,38,39,40,45,46,51,60,63,67,68,34
3,4,7,8,11,13,25,29,35,40,43,49,54,56,58,61,62,63,64,68,64
2,10,11,13,18,19,21,22,23,26,34,37,38,46,49,51,53,54,62,70,34
1,2,3,14,16,17,20,25,31,39,47,48,53,59,60,62,63,64,66,69,17
4,5,8,9,11,14,17,19,26,30,37,39,52,53,54,55,56,57,63,66,66
3,7,12,15,16,20,21,26,27,30,33,37,45,49,51,53,56,62,66,68,62
10,11,16,17,22,28,34,35,36,37,43,45,46,47,48,49,51,60,64,67,46
1,2,7,12,16,18,25,27,28,30,32,34,37,39,40,43,49,52,57,67,67
1,3,6,10,17,22,23,25,29,32,35,36,38,46,47,49,54,56,58,61,32
7,8,11,13,23,24,31,33,36,38,43,45,46,51,54,55,59,61,69,70,43
4,8,11,14,16,24,25,28,29,30,32,36,42,46,48,49,52,58,59,64,48
1,2,8,11,14,17,18,21,24,27,31,35,37,40,41,49,54,59,61,62,2
3,6,10,11,15,18,23,26,28,31,41,42,44,60,62,64,65,68,69,70,42
2,8,10,24,25,26,28,34,41,44,48,49,52,53,54,63,65,66,68,70,10
2,8,17,18,19,23,24,29,30,31,32,37,38,46,49,51,52,54,57,69,17
1,10,12,13,14,15,31,32,34,37,40,42,48,52,57,62,63,64,65,69,65
2,3,11,15,16,20,22,23,24,25,28,29,31,43,44,46,48,50,56,60,60
1,4,7,8,14,16,18,22,24,26,28,29,32,39,40,58,59,64,67,68,28
3,4,6,8,16,19,23,29,37,40,42,45,46,48,52,60,62,64,66,70,19
2,4,6,10,11,19,22,25,29,30,35,39,40,42,45,46,47,53,56,57,35
2,7,12,13,14,21,26,27,30,32,38,44,47,50,51,55,62,63,66,68,38
1,2,3,6,9,11,14,19,21,26,27,32,37,39,46,47,51,62,65,66,2
2,5,8,13,19,20,23,27,30,36,37,38,40,43,44,46,48,55,68,70,2
1,4,5,6,11,14,20,25,28,29,32,33,34,37,44,58,59,62,65,67,59
1,5,7,23,26,29,30,31,39,43,44,50,51,53,55,56,57,58,61,63,50
3,7,14,22,23,24,26,29,30,36,38,40,46,47,49,54,56,59,65,69,30
2,5,7,8,11,14,16,18,24,29,31,32,37,38,40,48,54,59,64,68,38
7,8,12,13,14,21,28,29,37,38,43,44,45,50,56,57,58,65,68,69,21
3,9,10,15,17,19,22,23,28,32,36,40,42,45,46,48,50,57,60,66,57
1,3,9,12,20,26,28,30,33,34,36,38,39,49,54,55,58,60,64,65,33
4,14,17,22,23,29,30,33,35,38,41,42,43,44,48,52,55,56,64,67,55
1,2,7,8,9,11,12,13,14,19,22,38,49,53,55,57,58,62,68,70,9
1,9,11,15,17,18,19,20,26,30,37,38,39,43,48,56,64,65,66,70,66
2,3,5,6,15,16,18,26,33,37,41,44,46,47,56,60,62,65,68,70,41
3,7,8,10,11,14,16,20,23,25,29,30,32,36,51,53,54,57,61,69,7
2,3,12,14,23,29,32,33,34,36,43,47,48,58,59,62,64,66,68,69,58
1,5,20,21,22,24,26,29,30,31,36,38,39,49,52,54,55,57,59,65,57
